SampleID,Temp_C,SI_Calcite,SI_Dolomite,SI_Fluorite
MAM7,30.0,-0.35236864248216193,-0.5920723586029055,-2.6561563238671297
MAM7,30.0,-0.5553487998872946,-2.749265677524477,-0.9050693170104864
NAN1,20.0,-0.3912616863097007,-0.5843716096098888,-2.578161948217133
NAN1,25.0,-0.3286328625388961,-0.3904193567360288,-2.647926470486258
NAN1,30.0,-0.2693675834450566,-0.21345860844209597,-2.713566623397419
NAN4,20.0,-0.5028183270611173,-0.903589085184489,-2.7203144622603332
NAN4,25.0,-0.4377825106439275,-0.7058825958990305,-2.788065224435739
NAN4,30.0,-0.37578945771145555,-0.5247299366684004,-2.8514162473884213
NAN6,20.0,-1.551639618217541,-2.48961248740833,-1.7611872063659586
NAN6,25.0,-1.4821018946196105,-2.284192049960261,-1.8270449072797081
NAN6,30.0,-1.4147267314963088,-2.0941812342816064,-1.8877730619091047
NYC5,20.0,-2.1860572276383543,-2.9047318176224017,-3.6422033057552596
NYC5,25.0,-2.116314899918846,-2.6992392937773175,-3.707000654872026
NYC5,30.0,-2.0488460786871876,-2.5092713616930595,-3.7667358458057816
NYG170,20.0,-1.1750718754764318,-1.4415089482979724,-1.7188598376451836
NYG170,25.0,-1.1087508942693702,-1.2416467304222323,-1.786058341154007
NYG170,30.0,-1.0451345702194992,-1.0579032816796143,-1.848610622243518
NYG8,20.0,-1.0958959455494224,-2.5418761644170687,-3.432227637534739
NYG8,25.0,-1.0275105490846457,-2.3382757898184074,-3.4973619809724426
NYG8,30.0,-0.9616032015781304,-2.150460183200469,-3.5575896103059854
NYG9,20.0,0.05898999330092991,-0.09246116609064359,-2.183509004663936
NYG9,25.0,0.1284622830536275,0.11239304053906096,-2.248544851662688
NYG9,30.0,0.19547504289662143,0.301545042127529,-2.308697399513221
NYI4,20.0,-0.6939401445136752,-1.358549593731773,-3.4434261101210666
NYI4,25.0,-0.6272634154937542,-1.1577793654668262,-3.510238476027638
NYI4,30.0,-0.563190468763338,-0.9730338474908464,-3.5722505149131276
NYN97,20.0,-1.891054959381453,-2.8010895474681377,-3.177477448117923
NYN97,25.0,-1.821774600157486,-2.596602808951669,-3.2420410197642635
NYN97,30.0,-1.754884803885421,-2.4077966364255516,-3.3016264532365973
NYY1,20.0,-0.6446509381628349,-2.1858081013667956,-0.5105480662263897
NYY1,25.0,-0.575485549720046,-1.9821965194475908,-0.5753197293603254
NYY1,30.0,-0.50879195790381,-1.7943581794460677,-0.6351710473881198
SUG03,20.0,-3.124981393082404,-5.66514342504431,-3.656831692167117
SUG03,25.0,-3.054704888676124,-5.4588815088013405,-3.720295280493815
SUG03,30.0,-2.9867981942084043,-5.268191850062053,-3.7787556602526706
SUJ7,20.0,-1.252200096638461,-1.9583561965311347,-2.3540533076014256
SUJ7,25.0,-1.1823387675700339,-1.752429901678365,-2.418575396625929
SUJ7,30.0,-1.1147802637898074,-1.5620268095578425,-2.478062306768905
SUS3,20.0,-1.028869342940066,-1.7293933111721422,-2.724208090540575
SUS3,25.0,-0.9609024568585696,-1.526731159812865,-2.7894838675653766
SUS3,30.0,-0.8956240186621169,-1.3400894221241444,-2.850049292871187
TAT170,20.0,-1.3039343299944708,-1.6383051496536503,-2.149584895546111
TAT170,25.0,-1.2363916191405906,-1.4362348115542396,-2.2158779418561245
TAT170,30.0,-1.171335623618539,-1.2500036348794161,-2.277310371450497
TOT1,20.0,-1.7109189884172906,-4.27020798040612,-0.8660542544392449
TOT1,25.0,-1.6418876611719249,-4.068016228944412,-0.9294880880867638
TOT1,30.0,-1.575667665368412,-3.882200316255208,-0.9880538953264075
TUT4,20.0,-1.943372729962153,-2.8088972749011205,-2.9110772053440623
TUT4,25.0,-1.874036083678595,-2.6040503804163357,-2.9762576739865096
TUT4,30.0,-1.8069005524270363,-2.414687692662074,-3.03630246320183
TUT9,20.0,-1.0970088676780705,-1.4816500464982987,-2.654075200751098
TUT9,25.0,-1.0287613312080506,-1.2783980371813861,-2.7196456248876792
TUT9,30.0,-0.9630300146672646,-1.0909819294821155,-2.7803551470831387
ZAZ165,20.0,-1.6360971044175052,-2.327555010905897,-2.9108811657020652
ZAZ165,25.0,-1.5674337559421687,-2.1236652563875396,-2.976320242233978
ZAZ165,30.0,-1.5010249056823426,-1.935339010281048,-3.036670096642485
ZOZ1,20.0,-0.8427028964970731,-1.2758590420928435,-1.8530809531477797
ZOZ1,25.0,-0.7734276608583226,-1.0709336482745435,-1.9180960023754903
ZOZ1,30.0,-0.7065254765072222,-0.8816377627824394,-1.9781360817425053
